name,waitTime,currentStatus,date,time,isRide
Wilderness Explorers,,OPERATING,04-01-2026,08:00,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,08:00,False
Na'vi River Journey,15,OPERATING,04-01-2026,08:00,True
Discovery Island Trails,,OPERATING,04-01-2026,08:00,False
Affection Section,,REFURBISHMENT,04-01-2026,08:00,False
Maharajah Jungle Trek,,CLOSED,04-01-2026,08:00,True
Kali River Rapids,,CLOSED,04-01-2026,08:00,True
The Oasis Exhibits,,OPERATING,04-01-2026,08:00,False
Wildlife Express Train,,REFURBISHMENT,04-01-2026,08:00,True
Tree of Life,,OPERATING,04-01-2026,08:00,False
Gorilla Falls Exploration Trail,,CLOSED,04-01-2026,08:00,True
Avatar Flight of Passage,60,OPERATING,04-01-2026,08:00,True
Kilimanjaro Safaris,,CLOSED,04-01-2026,08:00,True
Expedition Everest - Legend of the Forbidden Mountain,5,OPERATING,04-01-2026,08:00,True
Zootopia: Better Zoogether! - NEW!,10,OPERATING,04-01-2026,08:00,True
Wilderness Explorers,,OPERATING,04-01-2026,08:15,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,08:15,False
Na'vi River Journey,15,OPERATING,04-01-2026,08:15,True
Discovery Island Trails,,OPERATING,04-01-2026,08:15,False
Affection Section,,REFURBISHMENT,04-01-2026,08:15,False
Maharajah Jungle Trek,,CLOSED,04-01-2026,08:15,True
Kali River Rapids,,CLOSED,04-01-2026,08:15,True
The Oasis Exhibits,,OPERATING,04-01-2026,08:15,False
Wildlife Express Train,,REFURBISHMENT,04-01-2026,08:15,True
Tree of Life,,OPERATING,04-01-2026,08:15,False
Gorilla Falls Exploration Trail,,CLOSED,04-01-2026,08:15,True
Avatar Flight of Passage,90,OPERATING,04-01-2026,08:15,True
Kilimanjaro Safaris,25,OPERATING,04-01-2026,08:15,True
Expedition Everest - Legend of the Forbidden Mountain,5,OPERATING,04-01-2026,08:15,True
Zootopia: Better Zoogether! - NEW!,10,OPERATING,04-01-2026,08:15,True
Wilderness Explorers,,OPERATING,04-01-2026,08:30,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,08:30,False
Na'vi River Journey,15,OPERATING,04-01-2026,08:30,True
Discovery Island Trails,,OPERATING,04-01-2026,08:30,False
Affection Section,,REFURBISHMENT,04-01-2026,08:30,False
Maharajah Jungle Trek,,CLOSED,04-01-2026,08:30,True
Kali River Rapids,,CLOSED,04-01-2026,08:30,True
The Oasis Exhibits,,OPERATING,04-01-2026,08:30,False
Wildlife Express Train,,REFURBISHMENT,04-01-2026,08:30,True
Tree of Life,,OPERATING,04-01-2026,08:30,False
Gorilla Falls Exploration Trail,5,OPERATING,04-01-2026,08:30,True
Avatar Flight of Passage,125,OPERATING,04-01-2026,08:30,True
Kilimanjaro Safaris,30,OPERATING,04-01-2026,08:30,True
Expedition Everest - Legend of the Forbidden Mountain,10,OPERATING,04-01-2026,08:30,True
Zootopia: Better Zoogether! - NEW!,10,OPERATING,04-01-2026,08:30,True
Wilderness Explorers,,OPERATING,04-01-2026,08:45,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,08:45,False
Na'vi River Journey,25,OPERATING,04-01-2026,08:45,True
Discovery Island Trails,,OPERATING,04-01-2026,08:45,False
Affection Section,,REFURBISHMENT,04-01-2026,08:45,False
Maharajah Jungle Trek,,CLOSED,04-01-2026,08:45,True
Kali River Rapids,,CLOSED,04-01-2026,08:45,True
The Oasis Exhibits,,OPERATING,04-01-2026,08:45,False
Wildlife Express Train,,REFURBISHMENT,04-01-2026,08:45,True
Tree of Life,,OPERATING,04-01-2026,08:45,False
Gorilla Falls Exploration Trail,5,OPERATING,04-01-2026,08:45,True
Avatar Flight of Passage,120,OPERATING,04-01-2026,08:45,True
Kilimanjaro Safaris,30,OPERATING,04-01-2026,08:45,True
Expedition Everest - Legend of the Forbidden Mountain,10,OPERATING,04-01-2026,08:45,True
Zootopia: Better Zoogether! - NEW!,10,OPERATING,04-01-2026,08:45,True
Wilderness Explorers,,OPERATING,04-01-2026,09:00,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,09:00,False
Na'vi River Journey,25,OPERATING,04-01-2026,09:00,True
Discovery Island Trails,,OPERATING,04-01-2026,09:00,False
Affection Section,,REFURBISHMENT,04-01-2026,09:00,False
Maharajah Jungle Trek,5,OPERATING,04-01-2026,09:00,True
Kali River Rapids,,CLOSED,04-01-2026,09:00,True
The Oasis Exhibits,,OPERATING,04-01-2026,09:00,False
Wildlife Express Train,,REFURBISHMENT,04-01-2026,09:00,True
Tree of Life,,OPERATING,04-01-2026,09:00,False
Gorilla Falls Exploration Trail,5,OPERATING,04-01-2026,09:00,True
Avatar Flight of Passage,120,OPERATING,04-01-2026,09:00,True
Kilimanjaro Safaris,35,OPERATING,04-01-2026,09:00,True
Expedition Everest - Legend of the Forbidden Mountain,25,OPERATING,04-01-2026,09:00,True
Zootopia: Better Zoogether! - NEW!,10,OPERATING,04-01-2026,09:00,True
Wilderness Explorers,,OPERATING,04-01-2026,09:15,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,09:15,False
Na'vi River Journey,60,OPERATING,04-01-2026,09:15,True
Discovery Island Trails,,OPERATING,04-01-2026,09:15,False
Affection Section,,REFURBISHMENT,04-01-2026,09:15,False
Maharajah Jungle Trek,5,OPERATING,04-01-2026,09:15,True
Kali River Rapids,,CLOSED,04-01-2026,09:15,True
The Oasis Exhibits,,OPERATING,04-01-2026,09:15,False
