name,waitTime,currentStatus,date,time,isRide
Disney and Pixar Short Film Festival,,CLOSED,04-01-2026,09:00,True
The Seas with Nemo & Friends,5.0,OPERATING,04-01-2026,09:00,True
Frozen Ever After,,DOWN,04-01-2026,09:00,True
Awesome Planet,,CLOSED,04-01-2026,09:00,True
American Heritage Gallery,,OPERATING,04-01-2026,09:00,False
Remy's Ratatouille Adventure,70.0,OPERATING,04-01-2026,09:00,True
Advanced Training Lab,,OPERATING,04-01-2026,09:00,False
Stave Church Gallery,,OPERATING,04-01-2026,09:00,False
Turtle Talk With Crush,,CLOSED,04-01-2026,09:00,True
Bruce's Shark World,,OPERATING,04-01-2026,09:00,False
Impressions de France,,CLOSED,04-01-2026,09:00,True
Journey Into Imagination With Figment,,CLOSED,04-01-2026,09:00,True
Reflections of China,,CLOSED,04-01-2026,09:00,True
The American Adventure,,OPERATING,04-01-2026,09:00,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,09:00,False
Spaceship Earth,5.0,OPERATING,04-01-2026,09:00,True
Test Track,80.0,OPERATING,04-01-2026,09:00,True
Kidcot Fun Stops,,OPERATING,04-01-2026,09:00,False
Living with the Land,5.0,OPERATING,04-01-2026,09:00,True
SeaBase Aquarium,,OPERATING,04-01-2026,09:00,False
"ImageWorks - The ""What If"" Labs",,OPERATING,04-01-2026,09:00,False
Gallery of Arts and History,,OPERATING,04-01-2026,09:00,False
House of the Whispering Willows,,OPERATING,04-01-2026,09:00,False
Project Tomorrow: Inventing the Wonders of the Future,,OPERATING,04-01-2026,09:00,False
"Journey of Water, Inspired by Moana",,OPERATING,04-01-2026,09:00,True
Beauty and the Beast Sing-Along,,CLOSED,04-01-2026,09:00,True
Palais du Cinéma,,OPERATING,04-01-2026,09:00,False
Bijutsu-kan Gallery,,OPERATING,04-01-2026,09:00,False
Canada Far and Wide in Circle-Vision 360,,CLOSED,04-01-2026,09:00,True
Soarin' Around the World,10.0,OPERATING,04-01-2026,09:00,True
Mission: SPACE,15.0,OPERATING,04-01-2026,09:00,True
Guardians of the Galaxy: Cosmic Rewind,120.0,OPERATING,04-01-2026,09:00,True
Gran Fiesta Tour Starring The Three Caballeros,,CLOSED,04-01-2026,09:00,True
Disney and Pixar Short Film Festival,,OPERATING,04-01-2026,09:15,True
The Seas with Nemo & Friends,5.0,OPERATING,04-01-2026,09:15,True
Frozen Ever After,,DOWN,04-01-2026,09:15,True
Awesome Planet,,OPERATING,04-01-2026,09:15,True
American Heritage Gallery,,OPERATING,04-01-2026,09:15,False
Remy's Ratatouille Adventure,80.0,OPERATING,04-01-2026,09:15,True
Advanced Training Lab,,OPERATING,04-01-2026,09:15,False
Stave Church Gallery,,OPERATING,04-01-2026,09:15,False
Turtle Talk With Crush,,CLOSED,04-01-2026,09:15,True
Bruce's Shark World,,OPERATING,04-01-2026,09:15,False
Impressions de France,,CLOSED,04-01-2026,09:15,True
Journey Into Imagination With Figment,5.0,OPERATING,04-01-2026,09:15,True
Reflections of China,15.0,OPERATING,04-01-2026,09:15,True
The American Adventure,,OPERATING,04-01-2026,09:15,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,09:15,False
Spaceship Earth,10.0,OPERATING,04-01-2026,09:15,True
Test Track,105.0,OPERATING,04-01-2026,09:15,True
Kidcot Fun Stops,,OPERATING,04-01-2026,09:15,False
Living with the Land,5.0,OPERATING,04-01-2026,09:15,True
SeaBase Aquarium,,OPERATING,04-01-2026,09:15,False
"ImageWorks - The ""What If"" Labs",,OPERATING,04-01-2026,09:15,False
Gallery of Arts and History,,OPERATING,04-01-2026,09:15,False
House of the Whispering Willows,,OPERATING,04-01-2026,09:15,False
Project Tomorrow: Inventing the Wonders of the Future,,OPERATING,04-01-2026,09:15,False
"Journey of Water, Inspired by Moana",,OPERATING,04-01-2026,09:15,True
Beauty and the Beast Sing-Along,,CLOSED,04-01-2026,09:15,True
Palais du Cinéma,,OPERATING,04-01-2026,09:15,False
Bijutsu-kan Gallery,,OPERATING,04-01-2026,09:15,False
Canada Far and Wide in Circle-Vision 360,15.0,OPERATING,04-01-2026,09:15,True
Soarin' Around the World,50.0,OPERATING,04-01-2026,09:15,True
Mission: SPACE,15.0,OPERATING,04-01-2026,09:15,True
Guardians of the Galaxy: Cosmic Rewind,120.0,OPERATING,04-01-2026,09:15,True
Gran Fiesta Tour Starring The Three Caballeros,5.0,OPERATING,04-01-2026,09:15,True
Disney and Pixar Short Film Festival,,OPERATING,04-01-2026,09:30,True
The Seas with Nemo & Friends,5.0,OPERATING,04-01-2026,09:30,True
Frozen Ever After,,DOWN,04-01-2026,09:30,True
Awesome Planet,,OPERATING,04-01-2026,09:30,True
American Heritage Gallery,,OPERATING,04-01-2026,09:30,False
Remy's Ratatouille Adventure,75.0,OPERATING,04-01-2026,09:30,True
Advanced Training Lab,,OPERATING,04-01-2026,09:30,False
Stave Church Gallery,,OPERATING,04-01-2026,09:30,False
Turtle Talk With Crush,,CLOSED,04-01-2026,09:30,True
Bruce's Shark World,,OPERATING,04-01-2026,09:30,False
Impressions de France,,CLOSED,04-01-2026,09:30,True
Journey Into Imagination With Figment,5.0,OPERATING,04-01-2026,09:30,True
Reflections of China,15.0,OPERATING,04-01-2026,09:30,True
The American Adventure,,OPERATING,04-01-2026,09:30,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,09:30,False
Spaceship Earth,15.0,OPERATING,04-01-2026,09:30,True
Test Track,115.0,OPERATING,04-01-2026,09:30,True
