name,waitTime,currentStatus,date,time,isRide
Millennium Falcon: Smugglers Run,60.0,OPERATING,01-04-2026,08:30,True
Walt Disney Presents,,CLOSED,01-04-2026,08:30,True
Alien Swirling Saucers,15.0,OPERATING,01-04-2026,08:30,True
Slinky Dog Dash,,DOWN,01-04-2026,08:30,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,,CLOSED,01-04-2026,08:30,True
Mickey & Minnie's Runaway Railway,30.0,OPERATING,01-04-2026,08:30,True
Star Wars: Rise of the Resistance,130.0,OPERATING,01-04-2026,08:30,True
The Twilight Zone Tower of Terror™,20.0,OPERATING,01-04-2026,08:30,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,08:30,True
Star Tours – The Adventures Continue,5.0,OPERATING,01-04-2026,08:30,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,08:30,True
Millennium Falcon: Smugglers Run,,DOWN,01-04-2026,08:45,True
Walt Disney Presents,,OPERATING,01-04-2026,08:45,True
Alien Swirling Saucers,60.0,OPERATING,01-04-2026,08:45,True
Slinky Dog Dash,,DOWN,01-04-2026,08:45,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,,OPERATING,01-04-2026,08:45,True
Mickey & Minnie's Runaway Railway,70.0,OPERATING,01-04-2026,08:45,True
Star Wars: Rise of the Resistance,130.0,OPERATING,01-04-2026,08:45,True
The Twilight Zone Tower of Terror™,50.0,OPERATING,01-04-2026,08:45,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,08:45,True
Star Tours – The Adventures Continue,5.0,OPERATING,01-04-2026,08:45,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,08:45,True
Millennium Falcon: Smugglers Run,95.0,OPERATING,01-04-2026,09:00,True
Walt Disney Presents,,OPERATING,01-04-2026,09:00,True
Alien Swirling Saucers,45.0,OPERATING,01-04-2026,09:00,True
Slinky Dog Dash,,DOWN,01-04-2026,09:00,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,09:00,True
Mickey & Minnie's Runaway Railway,60.0,OPERATING,01-04-2026,09:00,True
Star Wars: Rise of the Resistance,130.0,OPERATING,01-04-2026,09:00,True
The Twilight Zone Tower of Terror™,70.0,OPERATING,01-04-2026,09:00,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,09:00,True
Star Tours – The Adventures Continue,10.0,OPERATING,01-04-2026,09:00,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,09:00,True
Millennium Falcon: Smugglers Run,65.0,OPERATING,01-04-2026,09:15,True
Walt Disney Presents,,OPERATING,01-04-2026,09:15,True
Alien Swirling Saucers,45.0,OPERATING,01-04-2026,09:15,True
Slinky Dog Dash,180.0,OPERATING,01-04-2026,09:15,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,09:15,True
Mickey & Minnie's Runaway Railway,55.0,OPERATING,01-04-2026,09:15,True
Star Wars: Rise of the Resistance,110.0,OPERATING,01-04-2026,09:15,True
The Twilight Zone Tower of Terror™,80.0,OPERATING,01-04-2026,09:15,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,09:15,True
Star Tours – The Adventures Continue,20.0,OPERATING,01-04-2026,09:15,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,09:15,True
Millennium Falcon: Smugglers Run,75.0,OPERATING,01-04-2026,09:30,True
Walt Disney Presents,,OPERATING,01-04-2026,09:30,True
Alien Swirling Saucers,45.0,OPERATING,01-04-2026,09:30,True
Slinky Dog Dash,145.0,OPERATING,01-04-2026,09:30,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,09:30,True
Mickey & Minnie's Runaway Railway,60.0,OPERATING,01-04-2026,09:30,True
Star Wars: Rise of the Resistance,110.0,OPERATING,01-04-2026,09:30,True
The Twilight Zone Tower of Terror™,80.0,OPERATING,01-04-2026,09:30,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,09:30,True
Star Tours – The Adventures Continue,25.0,OPERATING,01-04-2026,09:30,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,09:30,True
Millennium Falcon: Smugglers Run,75.0,OPERATING,01-04-2026,09:45,True
Walt Disney Presents,,OPERATING,01-04-2026,09:45,True
Alien Swirling Saucers,35.0,OPERATING,01-04-2026,09:45,True
Slinky Dog Dash,125.0,OPERATING,01-04-2026,09:45,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,09:45,True
Mickey & Minnie's Runaway Railway,65.0,OPERATING,01-04-2026,09:45,True
Star Wars: Rise of the Resistance,125.0,OPERATING,01-04-2026,09:45,True
The Twilight Zone Tower of Terror™,30.0,OPERATING,01-04-2026,09:45,True
Toy Story Mania!,45.0,OPERATING,01-04-2026,09:45,True
Star Tours – The Adventures Continue,25.0,OPERATING,01-04-2026,09:45,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,09:45,True
Millennium Falcon: Smugglers Run,75.0,OPERATING,01-04-2026,10:00,True
Walt Disney Presents,,OPERATING,01-04-2026,10:00,True
Alien Swirling Saucers,45.0,OPERATING,01-04-2026,10:00,True
Slinky Dog Dash,120.0,OPERATING,01-04-2026,10:00,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,10:00,True
Mickey & Minnie's Runaway Railway,65.0,OPERATING,01-04-2026,10:00,True
Star Wars: Rise of the Resistance,125.0,OPERATING,01-04-2026,10:00,True
The Twilight Zone Tower of Terror™,65.0,OPERATING,01-04-2026,10:00,True
Toy Story Mania!,50.0,OPERATING,01-04-2026,10:00,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,10:00,True
