name,waitTime,currentStatus,weekday,month,dayNumber,hourOfDay,minute,isRide
Walt Disney's Enchanted Tiki Room,,CLOSED,2,4,1,12,0,True
The Barnstormer,5,OPERATING,2,4,1,12,0,True
Walt Disney World Railroad - Fantasyland,,CLOSED,2,4,1,12,0,True
Casey Jr. Splash 'N' Soak Station,,OPERATING,2,4,1,12,0,False
Seven Dwarfs Mine Train,65,OPERATING,2,4,1,12,0,True
A Pirate's Adventure ~ Treasures of the Seven Seas,,CLOSED,2,4,1,12,0,True
Enchanted Tales with Belle,,CLOSED,2,4,1,12,0,True
Buzz Lightyear's Space Ranger Spin,,REFURBISHMENT,2,4,1,12,0,False
Prince Charming Regal Carrousel,5,OPERATING,2,4,1,12,0,True
Big Thunder Mountain Railroad,,REFURBISHMENT,2,4,1,12,0,False
"""it's a small world""",5,OPERATING,2,4,1,12,0,True
Mad Tea Party,10,OPERATING,2,4,1,12,0,True
Dumbo the Flying Elephant,5,OPERATING,2,4,1,12,0,True
Swiss Family Treehouse,,CLOSED,2,4,1,12,0,True
Space Mountain,25,OPERATING,2,4,1,12,0,True
Peter Pan's Flight,40,OPERATING,2,4,1,12,0,True
Tomorrowland Speedway,10,OPERATING,2,4,1,12,0,True
The Magic Carpets of Aladdin,,CLOSED,2,4,1,12,0,True
"Walt Disney World Railroad - Main Street, U.S.A.",,CLOSED,2,4,1,12,0,True
Country Bear Musical Jamboree,,CLOSED,2,4,1,12,0,True
Mickey's PhilharMagic,,CLOSED,2,4,1,12,0,True
Walt Disney's Carousel of Progress,5,OPERATING,2,4,1,12,0,True
Tomorrowland Transit Authority PeopleMover,5,OPERATING,2,4,1,12,0,True
Monsters Inc. Laugh Floor,,CLOSED,2,4,1,12,0,True
The Hall of Presidents,,CLOSED,2,4,1,12,0,True
Main Street Vehicles,,CLOSED,2,4,1,12,0,True
Cinderella Castle,,OPERATING,2,4,1,12,0,False
Astro Orbiter,5,OPERATING,2,4,1,12,0,True
Haunted Mansion,,CLOSED,2,4,1,12,0,True
TRON Lightcycle / Run,,CLOSED,2,4,1,12,0,True
The Many Adventures of Winnie the Pooh,,DOWN,2,4,1,12,0,True
Tiana's Bayou Adventure,,CLOSED,2,4,1,12,0,True
Jungle Cruise,,CLOSED,2,4,1,12,0,True
Under the Sea - Journey of The Little Mermaid,5,OPERATING,2,4,1,12,0,True
Pirates of the Caribbean,,CLOSED,2,4,1,12,0,True
Walt Disney's Enchanted Tiki Room,,CLOSED,2,4,1,12,15,True
The Barnstormer,10,OPERATING,2,4,1,12,15,True
Walt Disney World Railroad - Fantasyland,,CLOSED,2,4,1,12,15,True
Casey Jr. Splash 'N' Soak Station,,OPERATING,2,4,1,12,15,False
Seven Dwarfs Mine Train,65,OPERATING,2,4,1,12,15,True
A Pirate's Adventure ~ Treasures of the Seven Seas,,CLOSED,2,4,1,12,15,True
Enchanted Tales with Belle,,CLOSED,2,4,1,12,15,True
Buzz Lightyear's Space Ranger Spin,,REFURBISHMENT,2,4,1,12,15,False
Prince Charming Regal Carrousel,5,OPERATING,2,4,1,12,15,True
Big Thunder Mountain Railroad,,REFURBISHMENT,2,4,1,12,15,False
"""it's a small world""",5,OPERATING,2,4,1,12,15,True
Mad Tea Party,5,OPERATING,2,4,1,12,15,True
Dumbo the Flying Elephant,10,OPERATING,2,4,1,12,15,True
Swiss Family Treehouse,0,OPERATING,2,4,1,12,15,True
Space Mountain,25,OPERATING,2,4,1,12,15,True
Peter Pan's Flight,40,OPERATING,2,4,1,12,15,True
Tomorrowland Speedway,15,OPERATING,2,4,1,12,15,True
The Magic Carpets of Aladdin,5,OPERATING,2,4,1,12,15,True
"Walt Disney World Railroad - Main Street, U.S.A.",,CLOSED,2,4,1,12,15,True
Country Bear Musical Jamboree,,CLOSED,2,4,1,12,15,True
Mickey's PhilharMagic,15,OPERATING,2,4,1,12,15,True
Walt Disney's Carousel of Progress,5,OPERATING,2,4,1,12,15,True
Tomorrowland Transit Authority PeopleMover,5,OPERATING,2,4,1,12,15,True
Monsters Inc. Laugh Floor,,CLOSED,2,4,1,12,15,True
The Hall of Presidents,,CLOSED,2,4,1,12,15,True
Main Street Vehicles,,CLOSED,2,4,1,12,15,True
Cinderella Castle,,OPERATING,2,4,1,12,15,False
Astro Orbiter,5,OPERATING,2,4,1,12,15,True
Haunted Mansion,13,OPERATING,2,4,1,12,15,True
TRON Lightcycle / Run,80,OPERATING,2,4,1,12,15,True
The Many Adventures of Winnie the Pooh,,DOWN,2,4,1,12,15,True
Tiana's Bayou Adventure,10,OPERATING,2,4,1,12,15,True
Jungle Cruise,15,OPERATING,2,4,1,12,15,True
Under the Sea - Journey of The Little Mermaid,5,OPERATING,2,4,1,12,15,True
Pirates of the Caribbean,5,OPERATING,2,4,1,12,15,True
Walt Disney's Enchanted Tiki Room,,CLOSED,2,4,1,12,30,True
The Barnstormer,15,OPERATING,2,4,1,12,30,True
Walt Disney World Railroad - Fantasyland,,CLOSED,2,4,1,12,30,True
Casey Jr. Splash 'N' Soak Station,,OPERATING,2,4,1,12,30,False
Seven Dwarfs Mine Train,70,OPERATING,2,4,1,12,30,True
A Pirate's Adventure ~ Treasures of the Seven Seas,,CLOSED,2,4,1,12,30,True
Enchanted Tales with Belle,,CLOSED,2,4,1,12,30,True
Buzz Lightyear's Space Ranger Spin,,REFURBISHMENT,2,4,1,12,30,False
Prince Charming Regal Carrousel,5,OPERATING,2,4,1,12,30,True
Big Thunder Mountain Railroad,,REFURBISHMENT,2,4,1,12,30,False
"""it's a small world""",5,OPERATING,2,4,1,12,30,True
Mad Tea Party,10,OPERATING,2,4,1,12,30,True
Dumbo the Flying Elephant,15,OPERATING,2,4,1,12,30,True
Swiss Family Treehouse,0,OPERATING,2,4,1,12,30,True
Space Mountain,25,OPERATING,2,4,1,12,30,True
Peter Pan's Flight,50,OPERATING,2,4,1,12,30,True
Tomorrowland Speedway,15,OPERATING,2,4,1,12,30,True
The Magic Carpets of Aladdin,5,OPERATING,2,4,1,12,30,True
"Walt Disney World Railroad - Main Street, U.S.A.",,CLOSED,2,4,1,12,30,True
Country Bear Musical Jamboree,,CLOSED,2,4,1,12,30,True
Mickey's PhilharMagic,15,OPERATING,2,4,1,12,30,True
Walt Disney's Carousel of Progress,5,OPERATING,2,4,1,12,30,True
Tomorrowland Transit Authority PeopleMover,5,OPERATING,2,4,1,12,30,True
Monsters Inc. Laugh Floor,,CLOSED,2,4,1,12,30,True
The Hall of Presidents,,CLOSED,2,4,1,12,30,True
Main Street Vehicles,,CLOSED,2,4,1,12,30,True
Cinderella Castle,,OPERATING,2,4,1,12,30,False
Astro Orbiter,20,OPERATING,2,4,1,12,30,True
Haunted Mansion,13,OPERATING,2,4,1,12,30,True
TRON Lightcycle / Run,75,OPERATING,2,4,1,12,30,True
The Many Adventures of Winnie the Pooh,,DOWN,2,4,1,12,30,True
Tiana's Bayou Adventure,5,OPERATING,2,4,1,12,30,True
Jungle Cruise,20,OPERATING,2,4,1,12,30,True
Under the Sea - Journey of The Little Mermaid,5,OPERATING,2,4,1,12,30,True
Pirates of the Caribbean,5,OPERATING,2,4,1,12,30,True
Walt Disney's Enchanted Tiki Room,,CLOSED,2,4,1,12,45,True
The Barnstormer,15,OPERATING,2,4,1,12,45,True
Walt Disney World Railroad - Fantasyland,,CLOSED,2,4,1,12,45,True
Casey Jr. Splash 'N' Soak Station,,OPERATING,2,4,1,12,45,False
Seven Dwarfs Mine Train,70,OPERATING,2,4,1,12,45,True
A Pirate's Adventure ~ Treasures of the Seven Seas,,CLOSED,2,4,1,12,45,True
Enchanted Tales with Belle,,CLOSED,2,4,1,12,45,True
Buzz Lightyear's Space Ranger Spin,,REFURBISHMENT,2,4,1,12,45,False
Prince Charming Regal Carrousel,5,OPERATING,2,4,1,12,45,True
Big Thunder Mountain Railroad,,REFURBISHMENT,2,4,1,12,45,False
"""it's a small world""",5,OPERATING,2,4,1,12,45,True
Mad Tea Party,10,OPERATING,2,4,1,12,45,True
Dumbo the Flying Elephant,15,OPERATING,2,4,1,12,45,True
Swiss Family Treehouse,0,OPERATING,2,4,1,12,45,True
Space Mountain,25,OPERATING,2,4,1,12,45,True
Peter Pan's Flight,55,OPERATING,2,4,1,12,45,True
Tomorrowland Speedway,20,OPERATING,2,4,1,12,45,True
The Magic Carpets of Aladdin,10,OPERATING,2,4,1,12,45,True
"Walt Disney World Railroad - Main Street, U.S.A.",,CLOSED,2,4,1,12,45,True
Country Bear Musical Jamboree,,CLOSED,2,4,1,12,45,True
Mickey's PhilharMagic,15,OPERATING,2,4,1,12,45,True
Walt Disney's Carousel of Progress,5,OPERATING,2,4,1,12,45,True
Tomorrowland Transit Authority PeopleMover,5,OPERATING,2,4,1,12,45,True
Monsters Inc. Laugh Floor,,CLOSED,2,4,1,12,45,True
The Hall of Presidents,,CLOSED,2,4,1,12,45,True
Main Street Vehicles,,CLOSED,2,4,1,12,45,True
Cinderella Castle,,OPERATING,2,4,1,12,45,False
Astro Orbiter,20,OPERATING,2,4,1,12,45,True
Haunted Mansion,13,OPERATING,2,4,1,12,45,True
TRON Lightcycle / Run,65,OPERATING,2,4,1,12,45,True
The Many Adventures of Winnie the Pooh,,DOWN,2,4,1,12,45,True
Tiana's Bayou Adventure,5,OPERATING,2,4,1,12,45,True
Jungle Cruise,45,OPERATING,2,4,1,12,45,True
Under the Sea - Journey of The Little Mermaid,5,OPERATING,2,4,1,12,45,True
Pirates of the Caribbean,5,OPERATING,2,4,1,12,45,True
Walt Disney's Enchanted Tiki Room,,CLOSED,2,4,1,13,0,True
The Barnstormer,15,OPERATING,2,4,1,13,0,True
Walt Disney World Railroad - Fantasyland,,CLOSED,2,4,1,13,0,True
Casey Jr. Splash 'N' Soak Station,,OPERATING,2,4,1,13,0,False
Seven Dwarfs Mine Train,85,OPERATING,2,4,1,13,0,True
A Pirate's Adventure ~ Treasures of the Seven Seas,,CLOSED,2,4,1,13,0,True
Enchanted Tales with Belle,,CLOSED,2,4,1,13,0,True
Buzz Lightyear's Space Ranger Spin,,REFURBISHMENT,2,4,1,13,0,False
Prince Charming Regal Carrousel,5,OPERATING,2,4,1,13,0,True
Big Thunder Mountain Railroad,,REFURBISHMENT,2,4,1,13,0,False
"""it's a small world""",5,OPERATING,2,4,1,13,0,True
Mad Tea Party,15,OPERATING,2,4,1,13,0,True
Dumbo the Flying Elephant,20,OPERATING,2,4,1,13,0,True
Swiss Family Treehouse,0,OPERATING,2,4,1,13,0,True
Space Mountain,40,OPERATING,2,4,1,13,0,True
Peter Pan's Flight,65,OPERATING,2,4,1,13,0,True
Tomorrowland Speedway,15,OPERATING,2,4,1,13,0,True
The Magic Carpets of Aladdin,20,OPERATING,2,4,1,13,0,True
"Walt Disney World Railroad - Main Street, U.S.A.",,CLOSED,2,4,1,13,0,True
Country Bear Musical Jamboree,,CLOSED,2,4,1,13,0,True
Mickey's PhilharMagic,15,OPERATING,2,4,1,13,0,True
Walt Disney's Carousel of Progress,5,OPERATING,2,4,1,13,0,True
Tomorrowland Transit Authority PeopleMover,5,OPERATING,2,4,1,13,0,True
Monsters Inc. Laugh Floor,,CLOSED,2,4,1,13,0,True
The Hall of Presidents,,CLOSED,2,4,1,13,0,True
Main Street Vehicles,,CLOSED,2,4,1,13,0,True
Cinderella Castle,,OPERATING,2,4,1,13,0,False
Astro Orbiter,20,OPERATING,2,4,1,13,0,True
Haunted Mansion,13,OPERATING,2,4,1,13,0,True
TRON Lightcycle / Run,65,OPERATING,2,4,1,13,0,True
The Many Adventures of Winnie the Pooh,,DOWN,2,4,1,13,0,True
Tiana's Bayou Adventure,20,OPERATING,2,4,1,13,0,True
Jungle Cruise,40,OPERATING,2,4,1,13,0,True
Under the Sea - Journey of The Little Mermaid,5,OPERATING,2,4,1,13,0,True
Pirates of the Caribbean,15,OPERATING,2,4,1,13,0,True
Walt Disney's Enchanted Tiki Room,0,OPERATING,2,4,1,13,15,True
The Barnstormer,15,OPERATING,2,4,1,13,15,True
Walt Disney World Railroad - Fantasyland,,OPERATING,2,4,1,13,15,True
Casey Jr. Splash 'N' Soak Station,,OPERATING,2,4,1,13,15,False
Seven Dwarfs Mine Train,75,OPERATING,2,4,1,13,15,True
A Pirate's Adventure ~ Treasures of the Seven Seas,,CLOSED,2,4,1,13,15,True
Enchanted Tales with Belle,,CLOSED,2,4,1,13,15,True
Buzz Lightyear's Space Ranger Spin,,REFURBISHMENT,2,4,1,13,15,False
Prince Charming Regal Carrousel,5,OPERATING,2,4,1,13,15,True
Big Thunder Mountain Railroad,,REFURBISHMENT,2,4,1,13,15,False
"""it's a small world""",25,OPERATING,2,4,1,13,15,True
Mad Tea Party,15,OPERATING,2,4,1,13,15,True
Dumbo the Flying Elephant,20,OPERATING,2,4,1,13,15,True
Swiss Family Treehouse,0,OPERATING,2,4,1,13,15,True
Space Mountain,50,OPERATING,2,4,1,13,15,True
Peter Pan's Flight,65,OPERATING,2,4,1,13,15,True
Tomorrowland Speedway,25,OPERATING,2,4,1,13,15,True
The Magic Carpets of Aladdin,20,OPERATING,2,4,1,13,15,True
"Walt Disney World Railroad - Main Street, U.S.A.",,OPERATING,2,4,1,13,15,True
Country Bear Musical Jamboree,10,OPERATING,2,4,1,13,15,True
Mickey's PhilharMagic,15,OPERATING,2,4,1,13,15,True
Walt Disney's Carousel of Progress,5,OPERATING,2,4,1,13,15,True
Tomorrowland Transit Authority PeopleMover,5,OPERATING,2,4,1,13,15,True
Monsters Inc. Laugh Floor,10,OPERATING,2,4,1,13,15,True
The Hall of Presidents,,DOWN,2,4,1,13,15,True
Main Street Vehicles,,OPERATING,2,4,1,13,15,True
Cinderella Castle,,OPERATING,2,4,1,13,15,False
Astro Orbiter,30,OPERATING,2,4,1,13,15,True
Haunted Mansion,13,OPERATING,2,4,1,13,15,True
TRON Lightcycle / Run,80,OPERATING,2,4,1,13,15,True
The Many Adventures of Winnie the Pooh,,DOWN,2,4,1,13,15,True
Tiana's Bayou Adventure,25,OPERATING,2,4,1,13,15,True
Jungle Cruise,50,OPERATING,2,4,1,13,15,True
Under the Sea - Journey of The Little Mermaid,5,OPERATING,2,4,1,13,15,True
Pirates of the Caribbean,10,OPERATING,2,4,1,13,15,True
